id	text	date	genre	wordcount	ppcrelease	p	datems	pptw
164	charles-1670-e3-h	1679	LETTERS_NON-PRIV	825	PPCEME-RELEASE-2	132	1679	160
165	charles-1670-e3-p2	1679	LETTERS_NON-PRIV	1071	PPCEME-RELEASE-2	189	1679	176.47
166	chatton-e3-h	1692	LETTERS_PRIV	587	PPCEME-RELEASE-2	62	1692	105.62
167	chatton-e3-p1	1692	LETTERS_PRIV	752	PPCEME-RELEASE-2	86	1692	114.36
168	chatton-e3-p2	1692	LETTERS_PRIV	581	PPCEME-RELEASE-2	58	1692	99.83
169	clowes-e2-h	1602	SCIENCE_MEDICINE	7133	PPCEME-RELEASE-2	842	1602	118.04
170	clowes-e2-p1	1602	SCIENCE_MEDICINE	7340	PPCEME-RELEASE-2	936	1602	127.52
171	clowes-e2-p2	1602	SCIENCE_MEDICINE	5124	PPCEME-RELEASE-2	629	1602	122.76
172	clowesobs-e2-p2	1596	SCIENCE_MEDICINE	2077	PPCEME-RELEASE-2	257	1596	123.74
173	commiss-e3-h	1673	LETTERS_NON-PRIV	725	PPCEME-RELEASE-2	142	1673	195.86
174	conway-e2-h	1623	LETTERS_NON-PRIV	714	PPCEME-RELEASE-2	99	1623	138.66
175	conway2-e3-p2	1675	LETTERS_NON-PRIV	1668	PPCEME-RELEASE-2	204	1675	122.3
176	counc-e3-h	1688	LETTERS_NON-PRIV	194	PPCEME-RELEASE-2	32	1688	164.95
177	coverte-e2-h	1612	TRAVELOGUE	5934	PPCEME-RELEASE-2	752	1612	126.73
178	coverte-e2-p1	1612	TRAVELOGUE	6240	PPCEME-RELEASE-2	847	1612	135.74
179	coverte-e2-p2	1612	TRAVELOGUE	6030	PPCEME-RELEASE-2	685	1612	113.6
180	cromwell-e1-h	1537	LETTERS_NON-PRIV	435	PPCEME-RELEASE-2	64	1537	147.13
181	cromwell-e1-p1	1530	LETTERS_NON-PRIV	510	PPCEME-RELEASE-2	78	1530	152.94
182	cromwell-e1-p2	1530	LETTERS_NON-PRIV	870	PPCEME-RELEASE-2	111	1530	127.59
183	dacre-e1-p2	1513	LETTERS_NON-PRIV	996	PPCEME-RELEASE-2	149	1513	149.6
184	delapole-e1-p1	1538	LETTERS_PRIV	260	PPCEME-RELEASE-2	30	1538	115.38
185	dell-e3-p1	1688	LETTERS_NON-PRIV	581	PPCEME-RELEASE-2	94	1688	161.79
186	deloney-e2-h	1597	FICTION	7333	PPCEME-RELEASE-2	761	1597	103.78
187	deloney-e2-p1	1597	FICTION	8263	PPCEME-RELEASE-2	884	1597	106.98
188	deloney-e2-p2	1597	FICTION	7744	PPCEME-RELEASE-2	996	1597	128.62
189	dering-e3-p2	1647	LETTERS_PRIV	1752	PPCEME-RELEASE-2	219	1647	125
190	dplumpt-e1-h	1509	LETTERS_PRIV	393	PPCEME-RELEASE-2	48	1509	122.14
191	drummond-e3-p1	1690	LETTERS_NON-PRIV	2059	PPCEME-RELEASE-2	240	1690	116.56
192	ebeaum-e1-h	1500	LETTERS_PRIV	399	PPCEME-RELEASE-2	46	NA	115.29
193	ecumberl-e1-h	1547	LETTERS_PRIV	187	PPCEME-RELEASE-2	22	1547	117.65
194	edmondes-e2-h	1599	LETTERS_NON-PRIV	1269	PPCEME-RELEASE-2	151	1599	118.99
195	edmondes-e2-p1	1599	LETTERS_NON-PRIV	1811	PPCEME-RELEASE-2	244	1599	134.73
196	edmondes-e2-p2	1599	LETTERS_NON-PRIV	1096	PPCEME-RELEASE-2	137	1599	125
197	edward-e1-h	1552	DIARY_PRIV	6269	PPCEME-RELEASE-2	928	1552	148.03
198	edward-e1-p1	1552	DIARY_PRIV	6609	PPCEME-RELEASE-2	939	1552	142.08
199	edward-e1-p2	1552	DIARY_PRIV	6766	PPCEME-RELEASE-2	1000	1552	147.8
200	ehatton-e3-h	1666	LETTERS_PRIV	361	PPCEME-RELEASE-2	48	1666	132.96
201	ehatton2-e3-p2	1690	LETTERS_PRIV	862	PPCEME-RELEASE-2	81	1690	93.97
202	eliz-1560-e1-p2	1566	LETTERS_NON-PRIV	311	PPCEME-RELEASE-2	45	1566	144.69
203	eliz-1570-e2-p2	1575	LETTERS_NON-PRIV	1075	PPCEME-RELEASE-2	154	1575	143.26
204	eliz-1580-e2-p1	1588	LETTERS_NON-PRIV	1653	PPCEME-RELEASE-2	225	1588	136.12
205	eliz-1590-e2-h	1600	LETTERS_NON-PRIV	1564	PPCEME-RELEASE-2	226	1600	144.5
206	eliz-1590-e2-p2	1600	LETTERS_NON-PRIV	300	PPCEME-RELEASE-2	36	1600	120
207	elyot-e1-h	1531	EDUC_TREATISE	5537	PPCEME-RELEASE-2	770	1531	139.06
208	elyot-e1-p1	1531	EDUC_TREATISE	5674	PPCEME-RELEASE-2	775	1531	136.59
209	elyot-e1-p2	1531	EDUC_TREATISE	5986	PPCEME-RELEASE-2	808	1531	134.98
210	eoxinden-1650-e3-p1	1658	LETTERS_PRIV	344	PPCEME-RELEASE-2	39	1658	113.37
211	eoxinden-1660-e3-h	1667	LETTERS_PRIV	1867	PPCEME-RELEASE-2	214	1667	114.62
212	eoxinden-1660-e3-p1	1667	LETTERS_PRIV	520	PPCEME-RELEASE-2	59	1667	113.46
213	eoxinden-1680-e3-p1	1680	LETTERS_PRIV	560	PPCEME-RELEASE-2	67	1680	119.64
214	epoole-e1-p2	1504	LETTERS_PRIV	906	PPCEME-RELEASE-2	121	1504	133.55
215	essex-e2-h	1600	PROCEEDINGS_TRIAL	5985	PPCEME-RELEASE-2	800	1600	133.67
216	essex-e2-p1	1600	PROCEEDINGS_TRIAL	3231	PPCEME-RELEASE-2	439	1600	135.87
217	essexstate-e2-p1	1600	PROCEEDINGS_TRIAL	3340	PPCEME-RELEASE-2	424	1600	126.95
218	essexstate-e2-p2	1600	PROCEEDINGS_TRIAL	6519	PPCEME-RELEASE-2	815	1600	125.02
219	evelyn-e3-h	1689	DIARY_PRIV	6110	PPCEME-RELEASE-2	927	1689	151.72
220	evelyn-e3-p1	1689	DIARY_PRIV	6521	PPCEME-RELEASE-2	956	1689	146.6
221	evelyn-e3-p2	1689	DIARY_PRIV	6531	PPCEME-RELEASE-2	966	1689	147.91
222	everard-e2-h	1629	LETTERS_PRIV	551	PPCEME-RELEASE-2	49	1629	88.93
223	fabyan-e1-h	1516	HISTORY	5478	PPCEME-RELEASE-2	872	1516	159.18
224	fabyan-e1-p1	1516	HISTORY	6026	PPCEME-RELEASE-2	1059	1516	175.74
225	fabyan-e1-p2	1516	HISTORY	5931	PPCEME-RELEASE-2	1033	1516	174.17
226	farquhar-e3-h	1707	DRAMA_COMEDY	5646	PPCEME-RELEASE-2	520	1707	92.1
227	farquhar-e3-p1	1707	DRAMA_COMEDY	6192	PPCEME-RELEASE-2	511	1707	82.53
228	farquhar-e3-p2	1707	DRAMA_COMEDY	5470	PPCEME-RELEASE-2	461	1707	84.28
229	fhatton-e3-h	1677	LETTERS_PRIV	469	PPCEME-RELEASE-2	30	1677	63.97
230	fiennes-e3-h	1698	TRAVELOGUE	5166	PPCEME-RELEASE-2	666	1698	128.92
231	fiennes-e3-p1	1698	TRAVELOGUE	5428	PPCEME-RELEASE-2	717	1698	132.09
232	fiennes-e3-p2	1698	TRAVELOGUE	5632	PPCEME-RELEASE-2	761	1698	135.12
233	fisher-e1-h	1521	SERMON	4853	PPCEME-RELEASE-2	609	1521	125.49
234	fisher-e1-p1	1521	SERMON	5255	PPCEME-RELEASE-2	608	1521	115.7
235	fisher-e1-p2	1521	SERMON	5150	PPCEME-RELEASE-2	674	1521	130.87
236	fitzh-e1-h	1534	HANDBOOK_OTHER	5264	PPCEME-RELEASE-2	522	1534	99.16
237	fitzh-e1-p1	1534	HANDBOOK_OTHER	5402	PPCEME-RELEASE-2	574	1534	106.26
238	fitzh-e1-p2	1534	HANDBOOK_OTHER	5524	PPCEME-RELEASE-2	577	1534	104.45
239	forman-diary-e2-p1	1602	DIARY_PRIV	4367	PPCEME-RELEASE-2	661	1602	151.36
240	forman-diary-e2-p2	1602	DIARY_PRIV	3482	PPCEME-RELEASE-2	497	1602	142.73
241	forman-e2-h	1602	DIARY_PRIV	4125	PPCEME-RELEASE-2	535	1602	129.7
242	fox-e3-h	1674	BIOGRAPHY_AUTO	5564	PPCEME-RELEASE-2	663	1674	119.16
243	fox-e3-p1	1674	BIOGRAPHY_AUTO	6130	PPCEME-RELEASE-2	673	1674	109.79
244	fox-e3-p2	1674	BIOGRAPHY_AUTO	6017	PPCEME-RELEASE-2	731	1674	121.49
245	friar-e1-p1	1538	LETTERS_NON-PRIV	908	PPCEME-RELEASE-2	137	1538	150.88
246	fryer-e3-h	1681	TRAVELOGUE	5347	PPCEME-RELEASE-2	803	1681	150.18
247	fryer-e3-p1	1681	TRAVELOGUE	5573	PPCEME-RELEASE-2	844	1681	151.44
248	fryer-e3-p2	1681	TRAVELOGUE	5649	PPCEME-RELEASE-2	828	1681	146.57
249	gascoigne-1500-e1-p1	1503	LETTERS_PRIV	524	PPCEME-RELEASE-2	68	1503	129.77
250	gascoigne-1510-e1-p1	1515	LETTERS_PRIV	299	PPCEME-RELEASE-2	46	1515	153.85
251	gawdy-e2-h	1589	LETTERS_PRIV	950	PPCEME-RELEASE-2	128	1589	134.74
252	gawdy-e2-p1	1589	LETTERS_PRIV	1029	PPCEME-RELEASE-2	126	1589	122.45
253	gawdy-e2-p2	1589	LETTERS_PRIV	1298	PPCEME-RELEASE-2	154	1589	118.64
254	gcromw-e1-h	1538	LETTERS_PRIV	499	PPCEME-RELEASE-2	77	1538	154.31
255	gcromw-e1-p1	1538	LETTERS_PRIV	521	PPCEME-RELEASE-2	70	1538	134.36
256	gcromw-e1-p2	1538	LETTERS_PRIV	241	PPCEME-RELEASE-2	25	1538	103.73
257	gifford-e2-h	1593	HANDBOOK_OTHER	6224	PPCEME-RELEASE-2	596	1593	95.76
258	gifford-e2-p1	1593	HANDBOOK_OTHER	6549	PPCEME-RELEASE-2	723	1593	110.4
259	gifford-e2-p2	1593	HANDBOOK_OTHER	6121	PPCEME-RELEASE-2	665	1593	108.64
260	gpoole-1500-e1-p2	1505	LETTERS_PRIV	1989	PPCEME-RELEASE-2	241	1505	121.17
261	gpoole-1510-e1-p2	1515	LETTERS_PRIV	1102	PPCEME-RELEASE-2	152	1515	137.93
262	grey-e1-p1	1523	LETTERS_PRIV	88	PPCEME-RELEASE-2	13	1523	147.73
263	harley-e2-h	1633	LETTERS_PRIV	1714	PPCEME-RELEASE-2	170	1633	99.18
264	harley-e2-p1	1633	LETTERS_PRIV	456	PPCEME-RELEASE-2	47	1633	103.07
265	harleyedw-e2-p1	1638	LETTERS_PRIV	1547	PPCEME-RELEASE-2	167	1638	107.95
266	harleyedw-e2-p2	1638	LETTERS_PRIV	1795	PPCEME-RELEASE-2	203	1638	113.09
267	harman-e1-h	1568	FICTION	5132	PPCEME-RELEASE-2	589	1568	114.77
268	harman-e1-p1	1568	FICTION	5647	PPCEME-RELEASE-2	651	1568	115.28
269	harman-e1-p2	1568	FICTION	5433	PPCEME-RELEASE-2	624	1568	114.85
270	hatcher-e2-p1	1580	LETTERS_NON-PRIV	293	PPCEME-RELEASE-2	37	1580	126.28
271	hayward-e2-h	1612	HISTORY	5281	PPCEME-RELEASE-2	843	1612	159.63
