id,created_at,author_id,text,referenced_tweets.retweeted.id,public_metrics.like_count
1456444165051584517,2021-11-05T02:12:03.000Z,1003949688465354752,From solar duck to platypus: Ground-breaking energy shift changes demand curve https://t.co/tyxzjiu03g #climateaction #solarPV #renewableenergy https://t.co/XKEGiQnLzl,1456440665747902469,0
1456444147754278918,2021-11-05T02:11:58.000Z,1003949688465354752,From solar duck to platypus: Ground-breaking energy shift changes demand curve https://t.co/EPoGHlTCtb #renewableenergy #cleanenergytransition,1456440460076007424,0
1456443768953982977,2021-11-05T02:10:28.000Z,85473692,"Also, ""Behold, the [insert word here]-inator!!!"" Perry the Platypus does not react until he goes on battle mode! :P",,0
1456443276672729099,2021-11-05T02:08:31.000Z,1392450551879585801,Any offers for FG platypus? \n\nLF: dodos/trexes\n\nDONT offer if ur offer is under\n\nDONT offer if ull not do it or u wont do it soon\n\n#AMTrading #adoptmetrading #adoptmetrades #Adoptmetrade #adoptmeoffers #adoptme #adoptmeoffering #adoptmeoffer #adoptmegiveaway,,1
1456442864095805443,2021-11-05T02:06:52.000Z,1431859856185577473,@GameboyJones @lizzo Gameboy jones man thanks for not having only exorcising my demons but teaching me to how fully embrace and control them me and the demon platypus living inside me get along great now,,1
1456442592070012928,2021-11-05T02:05:48.000Z,1185725533985751040,NEWS: From solar duck to platypus: Ground-breaking energy shift changes demand curve https://t.co/2aqUUgCXI4,,0
1456442320400699394,2021-11-05T02:04:43.000Z,1443291081844527106,@copebin Platypus is whatever ticks you off the most at any given time,,1
1456442259868577797,2021-11-05T02:04:28.000Z,1419473841080913924,Shoutout to my boy @RawrRobby hopping onboard with $CCB and the @carrotcakebake team. \n\nWAGMI. \n\nEveryone go and give a follow! Tell Rob you love his platypus. 👀🔥,1456442132219133961,3
1456442225504620546,2021-11-05T02:04:20.000Z,1403652645949120516,"One of Australia’s most unique &amp; iconic creatures is at risk of extinction: the platypus.\n\nYou can be a #CitizenScientist to help protect them. Get sent a kit to sample their DNA, head out to the wild, and see what you find! #conservation @CitSciOz_VIC\nhttps://t.co/hYiMCt7zVP",1456406769668792322,3
1456442132219133961,2021-11-05T02:03:58.000Z,1330222295827308548,Shoutout to my boy @RawrRobby hopping onboard with $CCB and the @carrotcakebake team. \n\nWAGMI. \n\nEveryone go and give a follow! Tell Rob you love his platypus. 👀🔥,,3
1456442089575575553,2021-11-05T02:03:48.000Z,910456558739324929,"Hi, I'm a Baby platypus https://t.co/PazXBX0bek",1456297719673335808,1552
1456442057367560197,2021-11-05T02:03:40.000Z,1392450551879585801,@lexchuggoX_x I aint trading a 2019 platypus for a 2021 trex -_-,,0
1456441913956048902,2021-11-05T02:03:06.000Z,1353399630621380609,A platypus?\nhttps://t.co/GjbWWeLe19,,0
1456441635370246148,2021-11-05T02:01:59.000Z,921467307599245317,"@PeriPlushies Bearded dragon in your style! Or Platypus, both are great.",,1
1456441226111201285,2021-11-05T02:00:22.000Z,711810452175626240,From solar duck to platypus: Ground-breaking energy shift changes demand curve https://t.co/YhRSYnQFjA via @renew_economy,,0
1456441206414643201,2021-11-05T02:00:17.000Z,126075164,From solar duck to platypus: Ground-breaking energy shift changes demand curve https://t.co/tyxzjiu03g #climateaction #solarPV #renewableenergy https://t.co/XKEGiQnLzl,1456440665747902469,0
1456441151528046594,2021-11-05T02:00:04.000Z,151305536,"Lmaooooo! One day you think the platypus is the most ridiculous animal, and then you learn that every minute is bullshit o’clock for owls. https://t.co/f12uXR38Ob",1456117687298535424,173
1456440813341134852,2021-11-05T01:58:43.000Z,729017457780916228,shout out to the person who made a perry the platypus/doofenshmirtz edit to i knew you were trouble in the 2010s bc i have never been able to forget it,,1
1456440775642738690,2021-11-05T01:58:34.000Z,1392450551879585801,Any offers for FG platypus? \n\nLF: dodos/trexes\n\nNO underpays\n\nDONT offer if ull not do it or u wont do it soon\n\n#AMTrading #adoptmetrading #adoptmetrades #Adoptmetrade #adoptmeoffers #adoptme #adoptmeoffering #adoptmeoffer #adoptmegiveaway,,1
1456440665747902469,2021-11-05T01:58:08.000Z,3392300234,From solar duck to platypus: Ground-breaking energy shift changes demand curve https://t.co/tyxzjiu03g #climateaction #solarPV #renewableenergy https://t.co/XKEGiQnLzl,,0
1456440460076007424,2021-11-05T01:57:19.000Z,1318770265329864704,From solar duck to platypus: Ground-breaking energy shift changes demand curve https://t.co/EPoGHlTCtb #renewableenergy #cleanenergytransition,,0
1456439967102775320,2021-11-05T01:55:22.000Z,827810653041684481,From solar duck to platypus: Ground-breaking energy shift changes demand curve https://t.co/osDD2RC1BL #solarpower #solarenergy #renewables https://t.co/s6vyHWPvmr,,0
1456439891168878596,2021-11-05T01:55:04.000Z,2542798346,@rowsvee you have to hit us with a perry the platypus,,0
1456439801482293286,2021-11-05T01:54:42.000Z,3767154919,i told her my safe word is perry the platypus and she laughed ??? how am i suppose to feel safe around that environment.,1456433390178213893,2
1456439619143094277,2021-11-05T01:53:59.000Z,3087562766,@rowsvee say perry the platypus RN,,8
1456439117743464451,2021-11-05T01:51:59.000Z,877618498280726528,"I’ve been drinking baileys and thinking… why not have a female president switch things up a little, it could either work out to be really funny or really bad or really good either way how the fuck did god come up with the platypus",,0
1456438698224930820,2021-11-05T01:50:19.000Z,780707721209188352,"made up of 3 stars, Eurorilluster is a constellation that looks like a platypus. you can find it in the eastern sky in the spring",,3
1456438488581255186,2021-11-05T01:49:29.000Z,1275838347706019840,@TJFunkyMonkey @AniTweetCity And I'm pretty sure a platypus is way closer to be a real mammal then a fucking electric mouse,,0
1456438395236864005,2021-11-05T01:49:07.000Z,1392179065323286531,@Platypus_Pro you look great! but me on the other hand i am both feeling and looking like crap🥲,,0
1456436233484132357,2021-11-05T01:40:31.000Z,1281791132607942656,technically pokemons are not mammals bc eggs BUt platypus are mammals and put eggs so,,0
1456436218871394317,2021-11-05T01:40:28.000Z,763101733148962817,Once again asking why that platypus guy from the sonic the hedgehog comics have to be designed hot,1456433827140849675,7
1456435550588706816,2021-11-05T01:37:49.000Z,586057077,@forjared That doesn't mean that they aren't super exotic man.  Don't let proximity alter your perspective.  Even Australians think platypus are weird.  (Or maybe platipye),,0
1456435385752424448,2021-11-05T01:37:09.000Z,1453998340224344068,i honestly would want to see her part of it then questions would come from OGs 😂 would love to see her blab like a platypus. https://t.co/Fi2ZIASrCO,1456260999376347148,14
1456435169271877637,2021-11-05T01:36:18.000Z,451086311,"Hi, I'm a Baby platypus https://t.co/PazXBX0bek",1456297719673335808,1552
1456435162145755144,2021-11-05T01:36:16.000Z,2229007392,E Platypus Uno,,0
1456433827140849675,2021-11-05T01:30:58.000Z,966717802479370240,Once again asking why that platypus guy from the sonic the hedgehog comics have to be designed hot,,7
