date	genre	text	pptw	region
1658	LETTERS_PRIV	rhaddsr	153.3	south
1673	LETTERS_PRIV	rhaddsr	122.42	south
1673	LETTERS_PRIV	rhaddsr	125.89	south
1688	LETTERS_PRIV	rhaddsr	116.5	south
1703	LETTERS_PRIV	rhaddsr	137.04	south
1712	LETTERS_PRIV	rhaddsr	128.34	south
1624	LETTERS_NON-PRIV	rich	125.3	south
1555	BIOGRAPHY_OTHER	roper	142.94	south
1555	BIOGRAPHY_OTHER	roper	142.93	south
1555	BIOGRAPHY_OTHER	roper	137.27	south
1607	LETTERS_PRIV	roxinden	134.38	south
1627	LETTERS_PRIV	roxinden	120.27	south
1627	LETTERS_PRIV	roxinden	106.67	south
1631	LETTERS_PRIV	roxinden	141.51	south
1631	LETTERS_PRIV	roxinden	114.68	south
1536	LETTERS_PRIV	rplumpt	128.94	south
1536	LETTERS_PRIV	rplumpt	121.21	south
1503	LETTERS_PRIV	rplumpt	150.18	south
1503	LETTERS_PRIV	rplumpt	109.76	south
1538	LETTERS_NON-PRIV	russell	147.85	south
1546	LETTERS_PRIV	savill	131.38	south
1591	SERMON	smith	118.27	south
1591	SERMON	smith	125.24	south
1591	SERMON	smith	118.44	south
1697	LETTERS_NON-PRIV	somers	148.1	south
1686	LETTERS_PRIV	southard	144.28	south
1688	LETTERS_NON-PRIV	spencer	132.59	south
1708	LETTERS_NON-PRIV	spencer	132.58	south
1708	LETTERS_NON-PRIV	spencer	140.44	south
1512	LAW	stat	170.21	south
1515	LAW	stat	176.6	south
1536	LAW	stat	149.2	south
1545	LAW	stat	176.03	south
1545	LAW	stat	156.88	south
1555	LAW	stat	154.64	south
1563	LAW	stat	154.27	south
1572	LAW	stat	150	south
1572	LAW	stat	140.2	south
1589	LAW	stat	130.75	south
1589	LAW	stat	149.45	south
1593	LAW	stat	158.93	south
1610	LAW	stat	150.06	south
1610	LAW	stat	159.5	south
1627	LAW	stat	149.68	south
1640	LAW	stat	161.17	south
1666	LAW	stat	159.85	south
1671	LAW	stat	160.66	south
1699	LAW	stat	155.92	south
1699	LAW	stat	159.49	south
1580	HISTORY	stow	162.34	south
1580	HISTORY	stow	147.42	south
1580	HISTORY	stow	163.91	south
1665	LETTERS_PRIV	strype	127.08	south
1665	LETTERS_PRIV	strype	107.91	south
1549	LETTERS_NON-PRIV	surety	110.39	south
1593	LETTERS_NON-PRIV	talbot	134.83	south
1630	LETTERS_PRIV	tbarring	109.09	south
1630	LETTERS_PRIV	tbarring	105.54	south
1630	LETTERS_PRIV	tbarring	135.23	south
1520	LETTERS_NON-PRIV	thoward	150.62	south
1520	LETTERS_NON-PRIV	thoward	144.3	south
1571	PROCEEDINGS_TRIAL	thoward	140.42	south
1571	PROCEEDINGS_TRIAL	thoward	134.57	south
1554	PROCEEDINGS_TRIAL	throckm	121.23	south
1671	SERMON	tillots	141.61	south
1671	SERMON	tillots	129.71	south
1679	SERMON	tillots	132.86	south
1679	SERMON	tillots	131.75	south
1680	SERMON	tillots	145.02	south
1517	TRAVELOGUE	torkingt	141.51	south
1517	TRAVELOGUE	torkingt	142.78	south
1517	TRAVELOGUE	torkingt	141.09	south
1594	LETTERS_NON-PRIV	trincoll	142.16	south
1521	LETTERS_NON-PRIV	tunstall	144.64	south
1521	LETTERS_NON-PRIV	tunstall	143.49	south
1568	HANDBOOK_OTHER	turner	122.26	south
1568	HANDBOOK_OTHER	turner	119.82	south
1568	HANDBOOK_OTHER	turner	138.61	south
1562	HANDBOOK_OTHER	turnerherb	136.55	south
1534	BIBLE	tyndnew	106.1	south
1534	BIBLE	tyndnew	117.48	south
1534	BIBLE	tyndnew	136.31	south
1530	BIBLE	tyndold	135.89	south
1530	BIBLE	tyndold	117.76	south
1530	BIBLE	tyndold	124.22	south
1676	HANDBOOK_OTHER	walton	106.73	south
1676	HANDBOOK_OTHER	walton	118.35	south
1676	HANDBOOK_OTHER	walton	115	south
1565	LETTERS_NON-PRIV	wcecil	111.75	south
1588	LETTERS_NON-PRIV	wcecil	163.18	south
1588	LETTERS_NON-PRIV	wcecil	119.47	south
1529	LETTERS_NON-PRIV	wolsey	141.93	south
1529	LETTERS_NON-PRIV	wolsey	117.5	south
1529	LETTERS_NON-PRIV	wolsey	139.45	south
1625	LETTERS_PRIV	wpaston	101.62	south
1503	LETTERS_PRIV	wplumpt	73.17	south
1516	LETTERS_PRIV	wplumpt	160	south
1516	LETTERS_PRIV	wplumpt	139.94	south
1649	LETTERS_PRIV	zouch	126.54	south
1450	RELIG_TREATISE	cmaelr	133.62	south
1230	RELIG_TREATISE	cmancriw	110.22	south
1230	RELIG_TREATISE	cmancriw	109.5	south
1340	RELIG_TREATISE	cmayenbi	120.36	south
1380	PHILOSOPHY	cmboeth	111.28	south
1400	HISTORY	cmbrut	121.27	south
1464	HISTORY	cmcapchr	138.38	south
1452	SERMON	cmcapser	160.65	south
1400	RELIG_TREATISE	cmcloud	145.91	south
1390	RELIG_TREATISE	cmctpars	139.17	south
1350	BIBLE	cmearlps	129.58	south
1390	RELIG_TREATISE	cmedvern	138.13	south
1495	SERMON	cmfitzja	166.49	south
1440	SERMON	cmgaytry	117.6	south
1475	HISTORY	cmgregor	141.67	south
1200	RELIG_TREATISE	cmhali	131.37	south
1396	RELIG_TREATISE	cmhilton	148.5	south
1497	SERMON	cminnoce	130.98	south
1400	RELIG_TREATISE	cmjulnor	125.7	south
1450	RELIG_TREATISE	cmkempe	129.16	south
1400	TRAVELOGUE	cmmandev	142.08	south
1415	SERMON	cmmirk	129.3	south
1388	BIBLE	cmntest	113.08	south
1382	BIBLE	cmotest	148.78	south
1150	HISTORY	cmpeterb	134.08	south
1387	HISTORY	cmpolych	137.2	south
1388	RELIG_TREATISE	cmpurvey	153.39	south
1481	FICTION	cmreynar	93.22	south
1500	HANDBOOK_OTHER	cmreynes	128.57	south
1348	RELIG_TREATISE	cmrollep	133.24	south
1349	RELIG_TREATISE	cmrolltr	144.86	south
1425	SERMON	cmroyal	126.95	south
1200	RELIG_TREATISE	cmvices	105.18	south
1400	RELIG_TREATISE	cmvices	113.02	south
1400	SERMON	cmwycser	130.62	south
