"Decade"	"Amp"	"Adjective"	"N.Amp."	"N.Adj."	"OBS"	"EXP"	"Probability"	"CollStrength"	"OddsRatio"	"p"	"attr"	"sig"
"123"	1870	"pretty"	NA	"7"	"5"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"124"	1870	"pretty"	NA	"7"	"3"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"125"	1870	"pretty"	NA	"7"	"16"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"126"	1870	"pretty"	NA	"7"	"6"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"127"	1870	"pretty"	NA	"7"	"8"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"128"	1870	"pretty"	NA	"7"	"10"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"129"	1870	"pretty"	NA	"7"	"3"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"130"	1870	"pretty"	NA	"7"	"1"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"131"	1870	"pretty"	NA	"7"	"6"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"132"	1870	"pretty"	NA	"7"	"6"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"133"	1870	"pretty"	NA	"7"	"1"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"134"	1870	"pretty"	NA	"7"	"21"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"135"	1870	"pretty"	NA	"7"	"1"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"136"	1870	"pretty"	NA	"7"	"27"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"137"	1870	"pretty"	NA	"7"	"108"	"1"	"0.1"	0.02	0.92	9.09	"0.120326"	"attr"	"n.s."
"138"	1870	"pretty"	NA	"7"	"2"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"139"	1870	"pretty"	NA	"7"	"3"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"140"	1870	"pretty"	NA	"7"	"1"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"141"	1870	"pretty"	NA	"7"	"2"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"142"	1870	"pretty"	NA	"7"	"3"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"143"	1870	"pretty"	NA	"7"	"13"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"144"	1870	"pretty"	NA	"7"	"21"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"145"	1870	"pretty"	NA	"7"	"5"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"146"	1870	"pretty"	NA	"7"	"1"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"147"	1870	"pretty"	NA	"7"	"11"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"148"	1870	"pretty"	NA	"7"	"11"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"149"	1870	"pretty"	NA	"7"	"3"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"150"	1870	"pretty"	NA	"7"	"37"	"0"	"0"	0.01	0	0	"1"	"repel"	"n.s."
"151"	1870	"pretty"	NA	"7"	"2"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"152"	1870	"pretty"	NA	"7"	"1"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"153"	1870	"pretty"	NA	"7"	"9"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"154"	1870	"pretty"	NA	"7"	"9"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"155"	1870	"pretty"	NA	"7"	"7"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"156"	1870	"pretty"	NA	"7"	"3"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"157"	1870	"pretty"	NA	"7"	"17"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"158"	1870	"pretty"	NA	"7"	"2"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"159"	1870	"pretty"	NA	"7"	"174"	"0"	"0.2"	0.03	0	0	"1"	"repel"	"n.s."
"160"	1870	"pretty"	NA	"7"	"2"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"161"	1870	"pretty"	NA	"7"	"2"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"162"	1870	"pretty"	NA	"7"	"1"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"163"	1870	"pretty"	NA	"7"	"3"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"164"	1870	"pretty"	NA	"7"	"5"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"165"	1870	"pretty"	NA	"7"	"3"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"166"	1870	"pretty"	NA	"7"	"1"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
"167"	1870	"pretty"	NA	"7"	"1"	"0"	"0"	0	0	0	"1"	"repel"	"n.s."
