Id	Participant	Group	Item	Response	Gender	Age
260	G260	German_Mono	15	NumeralNoun	Female	20
268	G268	German_Mono	12	NumeralNoun	Male	22
282	G282	German_Mono	3	NumeralNoun	Female	19
283	G283	German_Mono	4	NumeralNoun	Female	19
302	G302	German_Mono	3	NumeralNoun	Male	21
321	L011	L2_Intermediate	1	NumeralNoun	Female	22
322	L012	L2_Intermediate	3	NumeralNoun	Female	22
323	L013	L2_Intermediate	4	NumeralNoun	Female	22
328	L018	L2_Intermediate	12	NumeralNoun	Female	22
330	L020	L2_Intermediate	15	NumeralNoun	Female	22
332	L022	L2_Intermediate	3	NumeralNoun	Female	23
333	L023	L2_Intermediate	4	NumeralNoun	Female	23
338	L028	L2_Intermediate	12	NumeralNoun	Female	23
340	L030	L2_Intermediate	15	NumeralNoun	Female	23
341	L031	L2_Intermediate	1	NumeralNoun	Male	23
342	L032	L2_Intermediate	3	NumeralNoun	Male	23
343	L033	L2_Intermediate	4	NumeralNoun	Male	23
345	L035	L2_Intermediate	8	NumeralNoun	Male	23
348	L038	L2_Intermediate	12	NumeralNoun	Male	23
349	L039	L2_Intermediate	13	NumeralNoun	Male	23
351	L041	L2_Intermediate	1	NumeralNoun	Male	25
352	L042	L2_Intermediate	3	NumeralNoun	Male	25
353	L043	L2_Intermediate	4	NumeralNoun	Male	25
355	L045	L2_Intermediate	8	NumeralNoun	Male	25
357	L047	L2_Intermediate	11	NumeralNoun	Male	25
358	L048	L2_Intermediate	12	NumeralNoun	Male	25
359	L049	L2_Intermediate	13	NumeralNoun	Male	25
360	L050	L2_Intermediate	15	NumeralNoun	Male	25
361	L051	L2_Intermediate	1	NumeralNoun	Male	33
362	L052	L2_Intermediate	3	NumeralNoun	Male	33
363	L053	L2_Intermediate	4	NumeralNoun	Male	33
365	L055	L2_Intermediate	8	NumeralNoun	Male	33
367	L057	L2_Intermediate	11	NumeralNoun	Male	33
368	L058	L2_Intermediate	12	NumeralNoun	Male	33
369	L059	L2_Intermediate	13	NumeralNoun	Male	33
370	L060	L2_Intermediate	15	NumeralNoun	Male	33
371	L061	L2_Intermediate	1	NumeralNoun	Male	64
372	L062	L2_Intermediate	3	NumeralNoun	Male	64
